,ID,Toán,Lí,Hóa,Sinh,Văn,Ngoại ngữ,GDCD,Địa,Sử
318,02000318,8.8,7.5,6.0,4.25,6.75,8.6,,,
319,02000319,7.4,,,,5.5,6.8,7.75,7.25,2.25
320,02000320,6.6,,,,6.75,6.6,8.5,8.0,7.5
321,02000321,8.2,5.0,7.5,8.0,6.75,6.0,,,
322,02000322,8.4,8.75,8.0,4.75,7.5,8.6,,,
323,02000323,8.6,6.75,7.5,5.5,6.25,5.8,,,
324,02000324,7.0,6.25,4.25,4.25,6.5,4.8,,,
325,02000325,6.8,,,,5.5,3.2,7.0,6.75,5.0
326,02000326,8.6,8.0,7.75,5.25,6.25,4.8,,,
327,02000327,8.6,8.0,8.5,5.0,6.5,4.8,,,
328,02000328,8.6,7.0,5.0,6.25,6.5,6.4,,,
329,02000329,5.4,,,,5.75,3.2,6.25,7.75,3.5
330,02000330,7.2,7.5,8.5,3.5,5.0,6.2,,,
331,02000331,8.6,7.75,7.25,6.0,7.0,6.0,,,
332,02000332,7.6,7.75,7.5,7.0,7.0,6.6,,,
333,02000333,7.6,6.25,6.75,3.0,7.25,8.2,,,
334,02000334,7.4,5.5,7.0,6.5,7.75,6.0,,,
335,02000335,8.2,,,,7.25,4.8,8.75,6.0,6.0
336,02000336,6.6,5.75,5.75,2.5,3.75,5.6,,,
337,02000337,8.0,5.5,4.25,4.25,4.5,7.4,,,
338,02000338,9.2,8.25,8.25,5.75,5.5,5.6,,,
339,02000339,8.4,7.0,4.5,3.75,6.5,4.8,,,
340,02000340,9.4,7.25,6.25,6.0,8.0,9.0,,,
341,02000341,8.2,6.75,4.0,4.75,7.25,5.2,,,
342,02000342,8.4,8.0,5.75,4.75,7.5,6.8,,,
343,02000343,7.6,7.25,3.75,4.75,7.5,4.4,,,
344,02000344,8.0,6.5,7.0,3.75,5.25,6.6,,,
345,02000345,7.8,6.5,6.5,7.25,7.75,7.2,,,
346,02000346,8.8,7.25,7.5,4.5,7.25,7.6,,,
347,02000347,7.8,7.75,7.0,5.5,5.75,7.4,,,
348,02000348,6.0,,,,6.5,6.8,7.75,6.0,4.5
349,02000349,8.6,7.0,7.25,5.25,7.0,7.0,,,
350,02000350,7.8,,,,5.75,4.8,8.5,8.25,6.75
351,02000351,8.6,6.25,7.5,7.5,6.5,6.2,,,
352,02000352,8.2,,,,7.75,7.8,7.5,6.25,4.0
353,02000353,7.4,4.5,4.75,5.25,7.0,5.6,,,
354,02000354,6.4,7.0,8.0,6.0,7.5,6.4,,,
355,02000355,8.4,,,,7.75,8.8,8.25,8.25,7.75
356,02000356,8.2,,,,7.25,6.8,8.25,6.5,7.5
357,02000357,7.8,5.75,8.0,4.0,6.0,8.2,,,
358,02000358,8.8,7.75,3.75,3.75,6.5,8.2,,,
359,02000359,4.6,,,,5.75,4.6,7.25,6.75,3.25
360,02000360,7.2,5.5,4.0,4.75,5.75,6.2,,,
361,02000361,8.6,7.75,7.0,6.25,5.75,7.4,,,
362,02000362,8.8,7.75,7.25,6.5,6.5,7.0,,,
363,02000363,7.8,4.5,6.0,6.75,6.5,5.6,,,
364,02000364,8.2,5.75,8.25,5.75,6.25,6.2,,,
365,02000365,5.4,,,,8.0,5.4,9.0,8.0,8.0
366,02000366,6.8,,,,6.5,4.0,8.5,8.5,6.0
367,02000367,8.0,8.5,5.25,4.75,6.5,6.8,,,
368,02000368,8.2,7.25,6.25,6.5,5.75,6.0,,,
369,02000369,6.8,4.0,7.25,6.5,6.25,7.2,,,
370,02000370,7.8,7.5,7.75,5.0,8.0,6.4,,,
371,02000371,8.2,6.75,6.0,5.25,6.5,7.4,,,
372,02000372,8.2,,,,7.75,7.8,8.5,7.25,4.0
373,02000373,6.8,4.5,2.75,4.0,6.0,6.4,,,
374,02000374,9.6,8.0,6.25,6.5,7.0,9.4,,,
375,02000375,7.4,4.75,6.25,4.75,6.5,7.0,,,
376,02000376,9.0,7.5,8.25,6.0,6.5,6.6,,,
377,02000377,5.8,,,,4.0,4.6,6.0,7.0,4.75
378,02000378,6.2,,,,6.25,5.8,8.0,7.25,5.5
379,02000379,6.4,,,,3.75,4.4,7.0,4.25,3.5
380,02000380,7.6,6.0,5.75,6.25,6.25,7.2,,,
381,02000381,7.4,5.5,6.25,5.75,5.75,4.6,,,
382,02000382,5.6,,,,5.75,6.2,7.25,5.75,3.75
